freebase_id,wikidata_id,label
/m/010016,Q128306,Denton
/m/0100mt,Q16562,El Paso
/m/0102t4,Q52996,Marshall
/m/0104lr,Q128282,Beaumont
/m/0105y2,Q49273,Lubbock
/m/0106dv,Q128244,Waco
/m/0108xl,Q499169,Tyler
/m/0109vk,Q925598,San Angelo
/m/010bnr,Q16868,Laredo
/m/010bxh,Q128349,Wichita Falls
/m/010cw1,Q138458,Hackensack
/m/010dft,Q482657,Logan
/m/010h9y,Q52471,Ogden
/m/010hn,Q464213,Amy Grant
/m/010m55,Q963138,McLean
/m/010nlt,Q45240,Monte Carlo
/m/010p3,Q4119,Adam Carolla
/m/010r6f,Q214164,Bellevue
/m/010rvx,Q695417,Bremerton
/m/010t4v,Q199797,Tacoma
/m/010tkc,Q392599,Everett
/m/010v8k,Q187805,Spokane
/m/010xjr,Q106775,Richard Harris
/m/010y34,Q653636,Morgantown
/m/010z5n,Q329485,Parkersburg
/m/0113sg,Q43718,Nikolai Gogol
/m/0114m0,Q936780,La Crosse
/m/0118d3,Q40340,Racine
/m/011_3s,Q229271,Lily Tomlin
/m/011_6p,Q483994,kazoo
/m/011_vz,Q320499,Faith No More
/m/011hdn,Q332032,Alice Cooper
/m/011hq1,Q1505,Sikkim
/m/011j5x,Q598929,post-punk
/m/011k11,Q557632,Decca
/m/011k1h,Q183412,EMI
/m/011k4g,Q598185,Carl W. Stalling
/m/011k_j,Q189737,timpani
/m/011kn2,Q627969,University of Ottawa
/m/011lpr,Q1287651,Jack Webb
/m/011lvx,Q235066,Laurie Anderson
/m/011pcj,Q126514,Dumfries and Galloway
/m/011s0,Q37038,advertising
/m/011s9r,Q471619,Joe Shuster
/m/011v3,Q1543,AC Milan
/m/011vx3,Q244441,Pete Seeger
/m/011w20,Q464282,Bill Finger
/m/011w4n,Q40898,Nancy
/m/011w54,Q47170,Prize in Economic Sciences in Memory of Alfred Nobel
/m/011wdm,Q172455,Boulogne-Billancourt
/m/011wtv,Q244604,Minority Report
/m/011x_4,Q488655,Groundhog Day
/m/011xg5,Q221113,A.I. Artificial Intelligence
/m/011xhx,Q124179,Kiss
/m/011xjd,Q318261,Lon Chaney Jr.
/m/011xy1,Q258464,Trinity College Dublin
/m/011ycb,Q651722,Quiz Show
/m/011yd2,Q106428,Apollo 13
/m/011ydl,Q720724,Babe
/m/011yfd,Q258647,Il Postino: The Postman
/m/011yg9,Q643263,Sense and Sensibility
/m/011yhm,Q222720,Fargo
/m/011ykb,Q329131,Jerry Maguire
/m/011yl_,Q826494,Shine
/m/011yn5,Q221594,As Good as It Gets
/m/011yph,Q775970,The Full Monty
/m/011ypx,Q193835,Good Will Hunting
/m/011yqc,Q339876,L.A. Confidential
/m/011yr9,Q499656,Elizabeth
/m/011yrp,Q19355,Life is Beautiful
/m/011ys5,Q193979,farce
/m/011ysn,Q221491,The Thin Red Line
/m/011yth,Q463832,The Insider
/m/011ywj,Q165392,Gosford Park
/m/011yxy,Q830874,Cries and Whispers
/m/011z3g,Q472595,OutKast
/m/011zd3,Q188375,Lucy Liu
/m/011zdm,Q223102,peritonitis
/m/011zf2,Q234891,Yo-Yo Ma
/m/011zwl,Q312564,"Douglas Haig, 1st Earl Haig"
/m/01200d,Q322179,Wallace Beery
/m/01213c,Q202174,Argyll and Bute
/m/0121c1,Q23287,West Sussex
/m/0121rx,Q454200,Jackie Gleason
/m/0121sr,Q5137,Gujarati
/m/012201,Q214665,Nino Rota
/m/0122wc,Q10315,Real Sociedad
/m/0123_x,Q81949,Barcelona Province
/m/0123gq,Q42956,Harbin
/m/0123j6,Q684425,Bethesda Softworks
/m/0123qq,Q212156,Angel
/m/0123r4,Q806231,Band Aid
/m/01242_,Q1516164,Mrs. Brown
/m/01243b,Q183504,indie rock
/m/0124jj,Q207679,Perth and Kinross
/m/0124k9,Q1248938,The Larry Sanders Show
/m/0124ld,Q9623,1952 Winter Olympics
/m/0124qd,Q81052,Inner Hebrides
/m/0125ny,Q211778,Lake District
/m/0125q1,Q23086,North Yorkshire
/m/0125xq,Q106506,The Fifth Element
/m/0126hc,Q3367868,Fulham
/m/0126rp,Q254022,Eddie Izzard
/m/0126t5,Q1650296,instrumental rock
/m/0126y2,Q309843,Ja Rule
/m/01271h,Q282722,Trent Reznor
/m/01279v,Q184618,County Tipperary
/m/0127c4,Q23080,Tyne and Wear
/m/0127gn,Q192506,Vladimir Horowitz
/m/0127m7,Q11930,Kevin Costner
/m/0127ps,Q506661,Conspiracy Theory
/m/0127s7,Q41594,Christina Aguilera
/m/0127xk,Q553276,Steve Allen
/m/012_53,Q429777,Melissa Joan Hart
/m/012b30,Q778673,Sub Pop
/m/012bk,Q60206,Ariel Sharon
/m/012c6j,Q358379,Adolphe Menjou
/m/012c6x,Q372073,Jackie Cooper
/m/012cj0,Q159347,Steve McQueen
/m/012cph,Q186335,Dashiell Hammett
